sigma,probtypeI
1,0.026217
2,0.026217
3,0.026217
4,0.026217
5,0.026217
6,0.026217
7,0.026217
8,0.026217
9,0.026217
10,0.026217
11,0.026217
12,0.026217
13,0.026217
14,0.026217
15,0.026217
16,0.026217
17,0.026215
18,0.026212
19,0.026205
20,0.026195
21,0.026181
22,0.02616
23,0.026141
24,0.026116
25,0.026089
26,0.026061
27,0.026031
28,0.026006
29,0.025977
30,0.025949
31,0.025925
32,0.025896
33,0.025877
34,0.025857
35,0.02584
36,0.025824
37,0.025812
38,0.025794
39,0.025779
40,0.025766
41,0.025757
42,0.025745
43,0.025733
44,0.02572
45,0.02571
46,0.0257
47,0.025691
48,0.025679
49,0.025673
50,0.025667
51,0.02566
52,0.025654
53,0.025645
54,0.025637
55,0.025633
56,0.025628
57,0.025623
58,0.025616
59,0.025611
60,0.025606
61,0.025602
62,0.025599
63,0.025594
64,0.02559
65,0.025587
66,0.025581
67,0.025577
68,0.025574
69,0.025572
70,0.025568
71,0.025565
72,0.025562
73,0.02556
74,0.025556
75,0.025552
76,0.025549
77,0.025546
78,0.025543
79,0.02554
80,0.025536
81,0.025534
82,0.02553
83,0.025528
84,0.025526
85,0.025525
86,0.025523
87,0.025521
88,0.025519
89,0.025517
90,0.025515
91,0.025514
92,0.025512
93,0.025511
94,0.025509
95,0.025508
96,0.025506
97,0.025506
98,0.025504
99,0.025503
100,0.025503
101,0.025501
102,0.025501
103,0.025499
104,0.025498
105,0.025496
106,0.025493
107,0.02549
108,0.025489
109,0.025487
110,0.025486
111,0.025484
112,0.025483
113,0.025481
114,0.025479
115,0.025479
116,0.025479
117,0.025478
118,0.025477
119,0.025476
120,0.025476
121,0.025475
122,0.025473
123,0.025472
124,0.025471
125,0.02547
126,0.025469
127,0.025469
128,0.025468
129,0.025467
130,0.025467
131,0.025466
132,0.025466
133,0.025464
134,0.025463
135,0.025463
136,0.025462
137,0.025461
138,0.025461
139,0.02546
140,0.025459
141,0.025457
142,0.025457
143,0.025456
144,0.025455
145,0.025455
146,0.025455
147,0.025453
148,0.025453
149,0.025452
150,0.025451
